freq,psd_x,psd_y,psd_z
2579.8279999999995,5.038881202495963e-09,8.443010208246516e-09,2.739613877017257e-09
2599.826666666666,5.456320603615402e-09,1.504925565431351e-08,1.095499810814664e-09
2619.8253333333328,1.4680263958389944e-08,8.360618970738945e-08,2.7507876375530236e-09
2639.823999999999,7.667962011870413e-09,3.36114998535898e-08,1.6822709966978852e-09
2659.822666666666,4.071980277680339e-09,6.717120146171197e-09,1.1110188981497475e-09
2679.821333333333,4.509352915829484e-09,9.888816589707204e-09,1.1121325346790235e-09
2699.8199999999993,4.790383986716534e-09,1.3015108798778113e-08,1.0564942911246598e-09
2719.818666666666,3.975231464281472e-09,7.755983431686133e-09,9.792632962090881e-10
2739.8173333333325,4.688512080432948e-09,1.215032786488051e-08,1.2770323395512704e-09
2759.8159999999993,4.421438292581161e-09,1.014896505365811e-08,9.799521302172357e-10
2779.8146666666657,4.1720129201456455e-09,7.581552387444575e-09,8.15853990983447e-10
2799.8133333333326,4.400448221388805e-09,6.4217296582966375e-09,8.869276390766271e-10
2819.8119999999994,4.159509476164833e-09,5.802766816747961e-09,8.460043845993451e-10
2839.810666666666,3.560218529715475e-09,5.498195311180977e-09,8.726949587278195e-10
2859.8093333333327,3.5827689141439287e-09,6.453607225391844e-09,8.775876511818636e-10
2879.807999999999,3.649960875390378e-09,9.478398225173672e-09,8.850091907998575e-10
2899.806666666666,2.962506944018156e-09,6.273511732840729e-09,8.074041766944719e-10
2919.805333333333,2.7569649522024655e-09,4.798111247843176e-09,7.190652916946103e-10
2939.803999999999,3.043876060368728e-09,7.295314959461655e-09,8.713435361801737e-10
2959.802666666666,3.802290488570774e-09,1.274139051998944e-08,9.60121987855511e-10
2979.8013333333324,2.989262696209051e-09,6.739451516905144e-09,7.910985560713506e-10
2999.7999999999993,2.9556195732162293e-09,6.183330426692928e-09,8.462952560763772e-10
3019.7986666666657,3.1179514809809547e-09,8.194296136003766e-09,8.970514808583279e-10
3039.7973333333325,3.3731340276732128e-09,9.316979107620082e-09,8.772402921879105e-10
3059.7959999999994,5.9085418321293375e-09,2.5036712877712833e-08,1.3089424313510729e-09
3079.7946666666658,4.013025612556355e-09,1.4286185946304372e-08,9.934782348728576e-10
3099.7933333333326,2.802166491240716e-09,6.4980590228296426e-09,8.111585148054733e-10
3119.791999999999,5.252785439170654e-09,2.1164980949976244e-08,1.1345838288229424e-09
3139.790666666666,5.531129157409892e-08,3.708038423689051e-07,8.948643483546762e-09
3159.7893333333327,4.696130371654664e-08,3.0464301190194543e-07,7.541595428252545e-09
3179.787999999999,5.52216345302601e-09,2.350536075627444e-08,1.1673934131472786e-09
3199.786666666666,3.418655475692135e-09,8.106089264016899e-09,8.570157378580363e-10
3219.7853333333323,3.2540738411845407e-09,5.1783207177447205e-09,9.066879524245142e-10
3239.783999999999,3.3288212774431653e-09,5.667196703077058e-09,9.31290256370728e-10
3259.782666666666,3.953751489443123e-09,8.189995203070456e-09,9.033353957544637e-10
3279.7813333333324,4.187122316005096e-09,8.231703715075951e-09,8.771587192063753e-10
3299.7799999999993,4.329717151394736e-09,7.084606704927586e-09,8.468283310810309e-10
3319.7786666666657,6.014944516354138e-09,1.5502942942571482e-08,1.059120541170157e-09
3339.7773333333325,6.7244120084067956e-09,1.640857767690956e-08,1.0438717333583643e-09
3359.775999999999,6.6350177153475995e-09,1.0425884039180597e-08,9.059296366917458e-10
3379.774666666666,6.390842560722132e-09,1.0245241335533412e-08,1.0720445967494209e-09
3399.7733333333326,4.7882179362444335e-09,8.310890504581433e-09,8.473927299059869e-10
3419.771999999999,6.774165577176641e-09,2.792626257393058e-08,1.306784014964256e-09
3439.770666666666,7.633318208247535e-09,3.3842507630630157e-08,1.353288464103169e-09
3459.7693333333323,4.757173091914392e-09,1.379636093509195e-08,9.125999740121926e-10
3479.767999999999,4.8505383177508864e-09,1.8885963434859154e-08,9.658747846935325e-10
3499.766666666666,3.469868857499859e-09,7.819705355533408e-09,6.95422346974126e-10
3519.7653333333324,4.99854739676414e-09,1.7217701295576104e-08,9.68775136896319e-10
3539.763999999999,1.0937285952161494e-08,5.857063710556781e-08,1.9696901109229106e-09
3559.7626666666656,8.05256826205508e-09,4.062186562703035e-08,1.536647545135915e-09
3579.7613333333325,7.328223100842575e-09,3.474093864092941e-08,1.3504929971962933e-09
3599.759999999999,4.250979387638815e-09,1.2873565562133305e-08,8.18701729944226e-10
3619.7586666666657,3.935306948308677e-09,1.3244645335878502e-08,8.246163739229954e-10
3639.7573333333326,8.459204294628081e-09,4.560747794073306e-08,1.6640579816751127e-09
